timestamp[s] pos_x[m] pos_y[m] pos_z[m] rot_x rot_y rot_z rot_w quality
463.369 0.995609 0.429157 -14.3854 -0.0204076 -0.00201891 0.997013 0.0744599 1
463.464 0.997136 0.445773 -14.3857 -0.0192195 -0.00102188 0.996499 0.0813585 1
463.564 0.996286 0.46419 -14.3898 -0.0172507 -0.00159147 0.995973 0.0879629 1
463.664 0.995437 0.485535 -14.3913 -0.017343 -0.00727171 0.995364 0.0943197 1
463.764 0.996976 0.503746 -14.398 -0.0204234 -0.0201537 0.994396 0.101753 1
463.864 0.998132 0.522887 -14.4053 -0.0303863 -0.0272101 0.992956 0.111237 1
463.964 1.00002 0.536518 -14.4078 -0.0383759 -0.0229348 0.991739 0.120231 1
464.069 0.994431 0.546386 -14.4082 -0.0386921 -0.0146945 0.9908 0.128851 1
464.169 0.985971 0.554176 -14.4086 -0.0373463 -0.0096735 0.989903 0.136394 1
464.269 0.973621 0.558143 -14.4078 -0.0320683 -0.00768046 0.988877 0.145034 1
464.369 0.960666 0.560113 -14.409 -0.0229718 -0.00445646 0.987715 0.154506 1
464.464 0.946299 0.559588 -14.4089 -0.0160793 -0.00135722 0.985949 0.166267 1
464.564 0.933 0.558853 -14.4076 -0.0132306 0.00355063 0.983051 0.18282 1
464.664 0.922081 0.558054 -14.4013 -0.0140959 0.00789125 0.979209 0.202208 1
464.764 0.911514 0.559271 -14.3972 -0.0122491 0.0108029 0.974768 0.222621 1
464.864 0.905722 0.565507 -14.3909 -0.00650825 0.0161012 0.969702 0.243674 1
464.964 0.90225 0.570511 -14.3947 -0.00251275 0.0198412 0.963907 0.265488 1
465.064 0.902245 0.578483 -14.3937 -0.00444335 0.0168956 0.957287 0.288611 1
465.164 0.903602 0.586018 -14.3946 -0.00785961 0.012706 0.949961 0.312012 1
465.264 0.907259 0.592549 -14.3954 -0.00990079 0.00806322 0.942166 0.334904 1
465.364 0.913311 0.605216 -14.3956 -0.00966061 0.00452089 0.933971 0.35719 1
465.464 0.92158 0.618818 -14.3967 -0.00965989 0.00408393 0.92571 0.378088 1
465.564 0.929902 0.631784 -14.3991 -0.00964227 0.00344425 0.918391 0.395541 1
